Player Name,Position,Short Name,F to M,M to F,M to D,D to M,Position (new),Starts,total_points,Points (new position),NAP,NAPPS,Cost,True Cost
Aarons,2,NOR,,,,,2,36,66,66,-6,-0.17,50,
Abraham,4,CHE,,,,,4,25,133,133,83,3.32,75,
Adam Smith,2,BOU,,,,,2,24,49,49,1,0.04,#N/A,
Adams,4,SOU,,,,,4,12,45,45,21,1.75,60,
Adrián,1,LIV,,,,,1,9,25,25,7,0.78,45,
Agüero,4,MCI,,,,,4,15,107,107,77,5.13,105,
Aké,2,BOU,,,,,2,27,77,77,23,0.85,55,
Albrighton,3,LEI,,,,,3,7,22,22,8,1.14,55,
Alderweireld,2,TOT,,,,,2,33,97,97,31,0.94,55,
Alexander-Arnold,2,LIV,,,,,2,35,207,207,137,3.91,75,
Alisson,1,LIV,,,,,1,28,121,121,65,2.32,60,
Alli,3,TOT,,,,,3,20,112,112,72,3.60,80,
Almirón,3,NEW,,,,,3,35,103,103,33,0.94,60,
Alonso,2,CHE,,,,,2,16,98,98,66,4.13,60,
Alzate,3,BHA,,,,,3,12,26,26,2,0.17,45,
Amadou,3,NOR,,,,,3,7,14,14,0,0.00,#N/A,
André Gomes,3,EVE,,,,,3,15,36,36,6,0.40,55,
Angeliño,2,MCI,,,,,2,4,10,10,2,0.50,#N/A,
Antonio,3,WHU,,,,,3,17,97,97,63,3.71,65,
Armstrong,3,SOU,,,,,3,18,87,87,51,2.83,55,
Atsu,3,NEW,,,,,3,8,23,23,7,0.88,55,
Aubameyang,4,ARS,,,,,4,35,204,204,134,3.83,120,
Aurier,2,TOT,,,,,2,30,124,124,64,2.13,55,
Ayew,4,CRY,,,,,4,37,132,132,58,1.57,60,
Azpilicueta,2,CHE,,,,,2,36,130,130,58,1.61,60,
Bailly,2,MUN,,,,,2,1,6,6,4,4.00,50,
Baines,2,EVE,,,,,2,4,10,10,2,0.50,#N/A,
Balbuena,2,WHU,,,,,2,13,36,36,10,0.77,45,
Baldock,2,SHU,,,,,2,38,142,142,66,1.74,55,
Bardsley,2,BUR,,,1,,2,21,78,99,57,2.71,45,
Barkley,3,CHE,,,,,3,10,50,50,30,3.00,60,
Barnes,4,BUR,,,,,4,16,58,58,26,1.63,60,
Barnes,3,LEI,,,,,3,19,101,101,63,3.32,60,
Basham,2,SHU,,,,,2,37,122,122,48,1.30,50,
Batshuayi,4,CHE,,,,,4,1,2,2,0,0.00,60,
Bednarek,2,SOU,,,,,2,34,84,84,16,0.47,45,
Bellerín,2,ARS,,,,,2,13,42,42,16,1.23,50,
Bennett,2,LEI,,,,,2,9,27,27,9,1.00,45,
Bentaleb,3,NEW,,,,,3,7,14,14,0,0.00,#N/A,
Benteke,4,CRY,,,,,4,13,32,32,6,0.46,55,
Berge,3,SHU,,,,,3,11,37,37,15,1.36,50,
Bergwijn,3,TOT,,,,,3,6,33,33,21,3.50,75,
Bernard,3,EVE,,,,,3,11,54,54,32,2.91,60,
Bernardo,2,BHA,,,,,2,7,16,16,2,0.29,40,
Bernardo Silva,3,MCI,,,,,3,20,97,97,57,2.85,75,
Bertrand,2,SOU,,,,,2,30,80,80,20,0.67,50,
Bešić,3,SHU,,1,,,4,2,3,3,-1,-0.50,#N/A,
Billing,3,BOU,,,,,3,24,60,60,12,0.50,#N/A,
Bissouma,3,BHA,,,,,3,12,30,30,6,0.50,45,
Boly,2,WOL,,,,,2,22,97,97,53,2.41,55,
Boufal,3,SOU,,,,,3,6,16,16,4,0.67,55,
Bowen,3,WHU,,,,,3,10,41,41,21,2.10,65,
Brady,3,BUR,,,,,3,4,9,9,1,0.25,50,
Branthwaite,2,EVE,,,,,2,3,11,11,5,1.67,40,
Bravo,1,MCI,,,,,1,4,11,11,3,0.75,45,
Brooks,3,BOU,,,,,3,6,12,12,0,0.00,#N/A,
Brownhill,3,BUR,,,,,3,9,20,20,2,0.22,50,
Buendía,3,NOR,,,,,3,26,89,89,37,1.42,#N/A,
