web_name,now_cost
Özil,70
Sokratis,50
David Luiz,55
Aubameyang,120
Cédric,50
Lacazette,85
Mustafi,50
Leno,50
Xhaka,55
Marí,45
Bellerín,50
Martínez,45
Chambers,45
Kolasinac,50
Maitland-Niles,50
Holding,45
Tierney,55
Pépé,80
Torreira,50
Willock,50
Nelson,55
Nketiah,60
Smith Rowe,45
Saka,55
Guendouzi,50
Martinelli,50
Saliba,45
Willian,80
Heaton,45
El Mohamady,45
Lansbury,45
Taylor,45
Steer,40
Hourihane,60
Jota,60
Nyland,40
Engels,45
Grealish,70
McGinn,55
Hause,45
Trézéguet,55
Mings,50
Targett,45
Bree,45
Nakamba,45
El Ghazi,60
Konsa,45
Guilbert,45
Wesley,60
Samatta,60
Davis,45
Vassilev,45
Douglas Luiz,50
Murray,50
Lallana,65
Stephens,45
Button,40
Groß,60
Duffy,45
Pröpper,50
Mooy,50
Burn,45
Dunk,50
Montoya,45
Andone,50
March,50
Webster,45
Veltman,45
Maupay,65
Trossard,60
Ryan,45
Jahanbakhsh,55
Izquierdo,55
Clarke,45
White,45
Bernardo,40
Bissouma,45
Lamptey,45
Connolly,55
Alzate,45
Mac Allister,55
Tarkowski,55
Bardsley,45
Pieters,45
Cork,50
Long,45
Rodriguez,60
Barnes,60
Mee,50
Westwood,55
Gudmundsson,55
Wood,65
Lowton,45
Vydra,50
Gibson,40
Brady,50
Pope,55
Taylor,45
Brownhill,50
Peacock-Farrell,40
McNeil,60
Caballero,50
Azpilicueta,60
Giroud,70
Alonso,60
Jorginho,50
Barkley,60
Kovacic,55
Batshuayi,60
Rüdiger,50
Zouma,50
Emerson,50
Arrizabalaga,50
Kanté,50
Ziyech,80
Loftus-Cheek,60
Christensen,50
Werner,95
Abraham,75
Pulisic,85
Mount,70
Tomori,50
Hudson-Odoi,60
James,50
Gilmour,45
Cahill,45
Hennessey,45
Sakho,45
Guaita,50
Tomkins,45
McArthur,55
McCarthy,45
Benteke,55
Kouyaté,50
Ward,45
Kelly,45
Wickham,45
Townsend,60
Milivojevic,60
van Aanholt,55
Ayew,60
Zaha,70
Schlupp,55
Meyer,50
Riedewald,45
Ferguson,40
Mitchell,40
Pierrick,45
Walcott,60
Delph,50
Sigurdsson,70
Lössl,45
Coleman,50
